Abs Min Value,Sig,Non-Sig
0,83842,435089
1,165977,860209
2,159587,830145
3,154330,796039
4,148406,762748
5,142356,730743
6,136943,701226
7,130987,669294
8,125675,638005
9,120312,610300
10,115677,582881
11,110464,554359
12,105262,529578
13,99947,501962
14,95491,476796
15,90736,451823
16,86262,429565
17,81497,407535
18,77347,386976
19,73634,363652
20,69250,342948
21,65590,326186
22,62274,306753
23,58702,289522
24,55703,272258
25,52192,257221
26,49339,240724
27,46417,226238
28,43589,212444
29,41075,198936
30,38256,186887
31,35592,174942
32,33952,163995
33,31823,153653
34,29639,143482
35,27362,134496
36,26014,124483
37,24040,116201
38,22243,108588
39,20929,100849
40,19593,94479
41,17902,88441
42,16743,84056
43,15451,76111
44,14112,70743
45,13000,65739
46,12200,60858
47,11426,56400
48,10440,52836
49,9615,49489
50,9011,46232
51,8080,42061
52,7595,39558
53,6891,37155
54,6412,33686
55,5691,31132
56,5274,29120
57,4898,27085
58,4522,24838
59,4236,22942
60,3610,21265
61,3372,19907
62,3094,18415
63,2819,16803
64,2632,15399
65,2379,14627
66,2247,13233
67,1914,12271
68,1780,11437
69,1590,10508
70,1439,9885
71,1343,8966
72,1216,8401
73,1142,7550
74,1047,7234
75,955,6434
76,774,6257
77,717,6047
78,678,5490
79,599,4757
80,582,4394
81,478,3931
82,460,3632
83,395,3231
84,318,2965
85,315,2746
86,275,2387
87,227,2252
88,182,2168
89,130,1681
90,114,1582
91,126,1340
92,104,1188
93,69,1068
94,47,871
95,37,787
96,39,679
97,20,488
98,7,297
99,15,245
100,82,2225
