Abs Min Value,Sig,Non-Sig
0,146426,372505
1,289688,736498
2,277659,712073
3,267322,683047
4,256679,654475
5,245241,627858
6,234793,603376
7,223750,576531
8,213798,549882
9,204582,526030
10,195481,503077
11,186006,478817
12,177553,457287
13,168097,433812
14,159937,412350
15,151849,390710
16,143519,372308
17,135693,353339
18,129338,334985
19,122049,315237
20,114573,297625
21,108398,283378
22,102617,266410
23,96625,251599
24,91174,236787
25,86027,223386
26,80643,209420
27,75642,197013
28,71168,184865
29,66670,173341
30,62363,162780
31,57995,152539
32,54802,143145
33,51425,134051
34,47922,125199
35,44742,117116
36,41719,108778
37,39172,101069
38,36269,94562
39,33859,87919
40,31659,82413
41,29305,77038
42,27283,73516
43,25241,66321
44,23210,61645
45,21549,57190
46,20440,52618
47,18743,49083
48,17083,46193
49,16229,42875
50,15034,40209
51,13817,36324
52,12946,34207
53,11733,32313
54,11084,29014
55,9950,26873
56,9210,25184
57,8720,23263
58,7905,21455
59,7521,19657
60,6630,18245
61,6214,17065
62,5849,15660
63,5321,14301
64,4903,13128
65,4508,12498
66,4226,11254
67,3777,10408
68,3556,9661
69,3248,8850
70,3007,8317
71,2831,7478
72,2660,6957
73,2441,6251
74,2211,6070
75,2064,5325
76,1802,5229
77,1656,5108
78,1613,4555
79,1460,3896
80,1357,3619
81,1147,3262
82,1080,3012
83,992,2634
84,853,2430
85,829,2232
86,715,1947
87,656,1823
88,566,1784
89,439,1372
90,382,1314
91,315,1151
92,268,1024
93,188,949
94,171,747
95,135,689
96,115,603
97,79,429
98,33,271
99,58,202
100,351,1956
